"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"2.2";;;
2;"C3, C5";"C_Radial_D5.0mm_H5.0mm_P2.00mm";2;"2.2";;;
3;"C6, C7, C8";"C_Disc_D3.0mm_W1.6mm_P2.50mm";3;"0.1";;;
4;"C9";"C_Radial_D5.0mm_H5.0mm_P2.00mm";1;"0.1";;;
5;"C10";"C_Radial_D5.0mm_H5.0mm_P2.00mm";1;"10";;;
6;"J1";"Jack_3.5mm_CUI_SJ1-3513N_Horizontal";1;"AudioJack3";;;
7;"J2";"microSD_HC_Molex_47219-2001";1;"Micro_SD_Card";;;
8;"J3";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Conn_01x02_Socket";;;
9;"Q1, Q2";"SOT-23";2;"BSS138";;;
10;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"33";;;
11;"R2, R3, R4, R5, R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"1k";;;
12;"R7, R8, R9, R10, R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"10k";;;
13;"R12, R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"470";;;
14;"SW1, SW2, SW3, SW5, SW6";"SW_PUSH_6mm";5;"SW_Push";;;
15;"SW4";"SW_SPST_Omron_B3F-315x_Angled";1;"SW_SPST";;;
16;"U1";"XIAO-ESP32-S3-DIP";1;"XIAO-ESP32-S3-DIP";;;
17;"U2";"LCD1602";1;"HS1602A-B";;;
18;"U3";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"PCM5102";;;
19;"U4";"DIP-16_W7.62mm";1;"PCF8574P";;;
